Id,Company,Product,TypeName,Price_euros
102,HP,Omen 15-ce007nv,Gaming,1249
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,719
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,349
105,Dell,Inspiron 3576,Notebook,647
106,HP,Envy 13-ad009n,Ultrabook,1119
107,Microsoft,Surface Laptop,Ultrabook,1340
108,HP,Pavilion 14-BK001nv,Notebook,659
109,Lenovo,Ideapad 310-15ISK,Notebook,414.9
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,1193
111,MSI,GP62M 7REX,Gaming,1299
112,Lenovo,Thinkpad T470,Notebook,1480
113,Asus,VivoBook S15,Ultrabook,1262
114,Dell,XPS 13,Ultrabook,1379
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,1399
116,HP,Probook 440,Notebook,722
117,Dell,XPS 13,Ultrabook,1629
118,HP,Spectre x360,2 in 1 Convertible,1398.99
119,HP,Probook 440,Notebook,1084
120,Dell,Inspiron 7570,Notebook,1130.33
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,564
