Id,Company,Product,TypeName,Price_euros
122,Asus,VivoBook S15,Notebook,1118
123,Acer,Spin 3,Notebook,479
124,MSI,GS63VR 7RG,Gaming,2241.5
125,Lenovo,IdeaPad 320-15IKBN,Notebook,629
126,HP,Probook 470,Notebook,1271
127,Acer,Aspire 3,Notebook,451
128,HP,250 G6,Notebook,259
129,HP,Probook 440,Notebook,812
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,277.99
131,Dell,Inspiron 5770,Notebook,1396
132,HP,ProBook 470,Notebook,928
133,Dell,Inspiron 5567,Notebook,638.99
134,Dell,Inspiron 3567,Notebook,449
135,Acer,Swift 3,Ultrabook,884
136,Acer,Aspire A515-51G-37JS,Notebook,572
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,598
138,HP,Probook 440,Notebook,988
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,252.36
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,938
141,Lenovo,IdeaPad 320-15IKBN,Notebook,499
